Disco; ABBA; Mamma Mia; 1975	101,12532,1025,11113,3676,1025,5003,14760,8764,1025,3339,102
Vocaloid; 初音ミク; Ievan Polkka; 2007	101,5554,9314,1025,100,100,1724,30228,1025,29464,6212,20819,2912,1025,2289,102
Pop; Гурцкая; Ты здесь; 2003	101,3769,1025,1183,29748,16856,29751,28598,17432,1025,1197,29113,1187,29742,15290,29747,23742,1025,2494,102
Estradă; Sofia Rotaru; Melancolie; 1975	101,26482,1025,8755,18672,15728,1025,11463,2319,25778,2666,1025,3339,102
Hip-Hop; Eminem; Lose Yourself (From "8 Mile"); 2002	101,5099,1011,6154,1025,12495,25832,1025,4558,4426,1006,2013,1000,1022,3542,1000,1007,1025,2526,102
Brazilian Phonk; Nakama, Mc Staff; SEM SAÍDA	101,6142,6887,2239,2243,1025,17823,8067,1010,11338,3095,1025,7367,2213,2056,2050,102
Rock; AC/DC; T.N.T.; 1975	101,2600,1025,9353,1013,5887,1025,1056,1012,1050,1012,1056,1012,1025,3339,102
Электроника; Ёлка; Прованс	101,1208,29436,15290,23925,22919,16856,14150,18947,10325,28598,1025,1185,29436,28598,1025,1194,16856,19259,28995,29747,102
J-Pop; 米津玄師; Lemon; 2018	101,1046,1011,3769,1025,100,100,100,100,1025,14380,1025,2760,102
Soundtrack; Ramin Djawadi; Main Title — Game of Thrones; 2011	101,6050,1025,8223,2378,6520,10830,4305,1025,2364,2516,1517,2208,1997,6106,2015,1025,2249,102
café naïve Zoë	101,7668,15743,11199,102
emoji 🎵 test 🎧	101,7861,29147,2072,100,3231,100,102
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	101,100,102
hello-world, it's [bracketed] {and} <angled>!	101,7592,1011,2088,1010,2009,1005,1055,1031,21605,2098,1033,1063,1998,1065,1026,18756,1028,999,102
	101,102
1234567890	101,13138,19961,2575,2581,2620,21057,102
ÅÄÖ åäö ß	101,9779,2080,9779,2080,1096,102
混ぜるな危険	101,100,1659,30213,30193,100,100,102
don't  DO'NT  Don’t	101,2123,1005,1056,2079,1005,23961,2123,1521,1056,102
Anime OST; Yugo Kanno; il vento d'oro	101,8750,9808,2102,1025,9805,3995,22827,3630,1025,6335,18834,2080,1040,1005,20298,102
AI Cover; Dio; Old Town Road (AI Cover); 2023	101,9932,3104,1025,4487,2080,1025,2214,2237,2346,1006,9932,3104,1007,1025,16798,2509,102
TV Score; Paul Leonard‐Morgan; I Still Love You; 2011	101,2694,3556,1025,2703,7723,1513,5253,1025,1045,2145,2293,2017,1025,2249,102
Children's Music; Смешарики; Город Омск; 2012	101,2336,1005,1055,2189,1025,1196,29745,15290,29753,10260,16856,10325,23925,10325,1025,1183,14150,16856,14150,29742,1193,29745,29747,23925,1025,2262,102
Electro-pop; The Living Tombstone; Five Nights at Freddy’s; 2014	101,16175,1011,3769,1025,1996,2542,26671,1025,2274,6385,2012,19343,1521,1055,1025,2297,102
Internet Meme; Unknown (JoJo Meme); Banana Josuke; 2018	101,4274,2033,4168,1025,4242,1006,8183,5558,2033,4168,1007,1025,15212,8183,16867,1025,2760,102
J-Pop; imase; NIGHT DANCER; 2022	101,1046,1011,3769,1025,10047,11022,1025,2305,8033,1025,16798,2475,102
Folk; Unknown (Traditional); Tarantella Napoletana (Extended); 2000	101,5154,1025,4242,1006,3151,1007,1025,10225,10111,4571,18996,9890,20496,1006,3668,1007,1025,2456,102
Anime OST; 岩崎琢; Pierrot Headroom; 2013	101,8750,9808,2102,1025,100,1834,100,1025,10356,21709,2132,9954,1025,2286,102
Anime OST; Taku Iwasaki; Burning Colosseum	101,8750,9808,2102,1025,27006,2226,1045,17311,8978,1025,5255,8902,15094,14820,102
Musical; Andrew Underberg; Welcome to Heaven (Slowed + Reverb); 2024	101,3315,1025,4080,2104,4059,1025,6160,2000,6014,1006,9784,1009,7065,2121,2497,1007,1025,16798,2549,102
New Wave; The The; This Is the Day; 1983	101,2047,4400,1025,1996,1996,1025,2023,2003,1996,2154,1025,3172,102
Russian Pop; Burito; Мама; 2015	101,2845,3769,1025,20934,28414,1025,1191,10260,29745,10260,1025,2325,102
Anime OST; 菅野祐悟; 朗らかな旅; 2015	101,8750,9808,2102,1025,100,1963,100,100,1025,100,1685,30177,30193,100,1025,2325,102
Brazilian Phonk; h6itam; MONTAGEM ALQUIMIA (SLOWED); 2026	101,6142,6887,2239,2243,1025,1044,2575,6590,2213,1025,18318,4270,2213,2632,15549,10092,1006,9784,1007,1025,16798,2575,102
Ambient; Jake Chudnow; 126; 2006	101,17093,1025,5180,14684,2094,19779,1025,14010,1025,2294,102
Russian Pop; Авраам Руссо; Обручальная; 2005	101,2845,3769,1025,1180,25529,16856,10260,10260,29745,1195,29748,29747,29747,14150,1025,1193,29740,16856,29748,29752,10260,29436,23742,19865,17432,1025,2384,102
Anime OST; 岩崎琢; Appearance; 2013	101,8750,9808,2102,1025,100,1834,100,1025,3311,1025,2286,102
Black Metal; Blod Besvimelse; Misanthrop; 2024	101,2304,3384,1025,1038,4135,2094,2022,2015,5737,10199,3366,1025,28616,4630,8093,7361,1025,16798,2549,102
Hip-Hop; A Tribe Called Quest; Sucka Nigga; 1993	101,5099,1011,6154,1025,1037,5917,2170,8795,1025,11891,2050,9152,23033,1025,2857,102
Children's Music; Смешарики; Обормот; 2012	101,2336,1005,1055,2189,1025,1196,29745,15290,29753,10260,16856,10325,23925,10325,1025,1193,29740,14150,16856,29745,14150,22919,1025,2262,102
Children's music; Смешарики; Сергей Васильев; Марина Ланда; Хорошее настроение; 2022	101,2336,1005,1055,2189,1025,1196,29745,15290,29753,10260,16856,10325,23925,10325,1025,1196,15290,16856,29741,15290,10325,1182,10260,29747,10325,29436,23742,15290,25529,1025,1191,10260,16856,10325,19865,1190,28995,29742,10260,1025,1200,14150,16856,14150,29753,15290,15290,1192,10260,29747,22919,16856,14150,15290,18947,10325,15290,1025,16798,2475,102
Dance-pop; Ava Max; Choose Your Fighter; 2023	101,3153,1011,3769,1025,10927,4098,1025,5454,2115,4959,1025,16798,2509,102
Brazilian Phonk; h6itam; MONTAGEM CINICO (ULTRA SLOWED); 2026	101,6142,6887,2239,2243,1025,1044,2575,6590,2213,1025,18318,4270,2213,25022,8713,2080,1006,11087,9784,1007,1025,16798,2575,102
House; Michael Gray; The Weekend; 2004	101,2160,1025,2745,3897,1025,1996,5353,1025,2432,102
Alternative Rock; Linkin Park; What I've Done; 2007	101,4522,2600,1025,4957,2378,2380,1025,2054,1045,1005,2310,2589,1025,2289,102
Film Score; Paul Leonard-Morgan; Limitless Soundtrack Mix; 2011	101,2143,3556,1025,2703,7723,1011,5253,1025,5787,3238,6050,4666,1025,2249,102
Brazilian Phonk; Jeff Germita; CANTA BALA (Ultra Slowed); 2025	101,6142,6887,2239,2243,1025,5076,16216,28550,2696,1025,2064,2696,21451,1006,11087,9784,1007,1025,16798,2629,102
Ambient; Jake Chudnow; For Leah	101,17093,1025,5180,14684,2094,19779,1025,2005,14188,102
Epic Orchestral; Samuel Kim; Bruno Bucciarati Theme; 2021	101,8680,13533,1025,5212,5035,1025,10391,20934,14693,25879,2072,4323,1025,25682,102
Internet Meme; None; Скала-Джонс-идёт-в-самолёт-мем_177	101,4274,2033,4168,1025,3904,1025,1196,28598,29436,10260,1011,1184,29743,14150,18947,29747,1011,1188,29742,15290,22919,1011,1182,1011,1196,10260,29745,14150,29436,15290,22919,1011,1191,15290,29745,1035,18118,102
Hip-Hop; MF DOOM; Rapp Snitch Knishes; 2004	101,5099,1011,6154,1025,1049,2546,12677,1025,9680,2361,1055,3490,10649,14161,4509,2229,1025,2432,102
Chinese Folk; Mao Ze Dong; Red Sun in the Sky; 2015	101,2822,5154,1025,15158,27838,11947,1025,2417,3103,1999,1996,3712,1025,2325,102
Progressive Rock; Queen; Bohemian Rhapsody; 1975	101,6555,2600,1025,3035,1025,18063,29395,1025,3339,102
Anime; Various (Russian Dub Cast / Fan Compilation); Все Опенинги ДжоДжо На Русском (All JoJo Openings Russian Dub Megamix); 2022	101,8750,1025,2536,1006,2845,12931,3459,1013,5470,6268,1007,1025,1182,29747,15290,1193,29746,15290,18947,10325,18947,29741,10325,1184,29743,14150,29742,29743,14150,1192,10260,1195,29748,29747,29747,23925,14150,29745,1006,2035,8183,5558,16556,2845,12931,13164,4328,2595,1007,1025,16798,2475,102
Hard Rock; Scorpions; No One Like You; 2011	101,2524,2600,1025,22015,2015,1025,2053,2028,2066,2017,1025,2249,102
Pop Rock; Queen; Don’t Stop Me Now; 1979	101,3769,2600,1025,3035,1025,2123,1521,1056,2644,2033,2085,1025,3245,102
Dance-pop; Rihanna; S & M; 2011	101,3153,1011,3769,1025,25439,1025,1055,1004,1049,1025,2249,102
Phonk; KSLV; GECKO PHONK	101,6887,2239,2243,1025,29535,2140,2615,1025,16216,19665,6887,2239,2243,102
Indie Pop; Pompeya; 90; 2011	101,10271,3769,1025,13433,8737,3240,2050,1025,3938,1025,2249,102
